,review,sentiments,word_count,clean_review,polarity
788,This allows the possibility of double booking for the same date and time after the first.,0,16,allow doubl date time first,0.25
789,They work about 2 weeks then break.,0,7,work week break,0.0
790,It is simple to use and I like it.,1,9,simpl use like,0.0
791,"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",1,21,great tool data manag oh sure use data result,0.65
792,I can't use this case because the smell is disgusting.,0,10,use case smell disgust,0.0
793,NOT WHAT I WANTED.,0,4,want,0.0
794,I own 2 of these cases and would order another.,1,10,case would order anoth,0.0
795,I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1,16,bought batteri amazon happi purchas,0.0
796,"The internet access was fine, it the rare instance that it worked.",0,12,internet access fine rare work,0.35833333333333334
797,Perfect for the PS3.,1,4,perfect p,1.0
798,"Five star Plus, plus.",1,4,five star plu plu,0.0
799,A good quality bargain.. I bought this after I bought a cheapy from Big Lots that sounded awful and people on the other end couldn't hear me.,1,27,good qualiti bargain bought bought big lot sound aw peopl end hear,0.3666666666666667
800,$50 Down the drain.,0,4,drain,0.0
801,I tried talking real loud but shouting on the telephone gets old and I was still told it wasn't great.,0,20,tri talk real loud telephon get old still told great,0.35000000000000003
802,"Good , works fine.",1,4,good work fine,0.5583333333333333
803,For the price this was a great deal.,1,8,price great deal,0.8
804,"Great price, too!",1,3,great price,0.8
805,"If there is a wind, it is completely useless.",0,9,wind complet useless,-0.5
806,Yes it's shiny on front side - and I love it!,1,11,ye front side love,0.5
807,Does Not Work.,0,3,work,0.0
808,"At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).",0,21,first thought good deal plug phone v c razr,0.475
809,The reception through this headset is excellent.,1,7,recept headset excel,0.0
810,2 thumbs up to this seller,1,6,thumb seller,0.0
811,"I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.",1,22,verizon lg phone work well togeth good recept rang foot line,0.7
812,Improper description.... I had to return it.,0,7,descript return,0.0
813,#1 It Works - #2 It is Comfortable.,1,8,work comfort,0.0
814,Battery charge-life is quite long.,1,5,batteri charg life quit long,-0.05
815,The Jabra EarGels fit my ears very well.,1,8,jabra eargel fit ear well,0.4
816,Battery has no life.,0,4,batteri life,0.0
817,I checked everywhere and there is no feature for it which is really disappointing.,0,14,check everywher featur realli disappoint,0.0
818,Product is exactly as described.,1,5,product exactli describ,0.0
819,Gets a signal when other Verizon phones won't.,1,8,get signal verizon phone,0.0
820,Doesn't do the job.,0,4,job,0.0
821,I would recommend it.,1,4,would recommend,0.0
822,Plan on ordering from them again and again.,1,8,plan order,0.0
823,"That being said, for a phone, the camera is very nice; many cool effects to play with, and video is decent as well.",1,23,said phone camera nice mani cool effect play video decent well,0.37222222222222223
824,I have been very satisfied with this cell phone from day one.,1,12,satisfi cell phone day one,0.0
825,They keep getting better and better (this is my third one and I've had numerous Palms too).,1,17,keep get better better third one numer,0.3333333333333333
826,Awkward to use and unreliable.,0,5,awkward use unreli,-0.6
827,The shipping time was also very quick!,1,7,ship time also quick,0.3333333333333333
828,Not as good as I had hoped.,0,7,good,0.7
829,Good case!.,1,2,good case,0.7
830,Doesn't Work.,0,2,work,0.0
831,Really good product.,1,3,realli good product,0.7
832,Unfortunately it did not work.,0,5,unfortun work,0.0
833,All three broke within two months of use.,0,8,three broke within two month use,0.0
834,dont buy it.,0,3,dont buy,0.0
835,"My father has the V265, and the battery is dying.",0,10,father v batteri die,0.0
836,"However, the ear pads come off easily and after only one week I lost one.",0,15,howev ear come easili one week lost one,0.0
837,"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0,24,call drop phone come screen goe black worst ring,-0.5833333333333334
838,"Horrible, horrible protector.",0,3,horribl horribl protector,0.0
839,I don't like this Nokia either.,0,6,like nokia either,0.0
840,"Reaching for the bottom row is uncomfortable, and the send and end keys are not where I expect them to be.3.",0,21,bottom row uncomfort send end expect,0.0
841,I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0,16,bought nokia cell phone week ago,0.0
842,It would take too long to describe how bad my customer service experience has been with Amazon.,0,17,would take long describ bad custom servic experi amazon,-0.37499999999999994
843,the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!,0,10,disappoint thing,0.0
844,Terrible.. My car will not accept this cassette.,0,8,terribl car accept,0.0
845,"Product is useless, since it does not have enough charging current to charge the 2 cellphones I was planning to use it with.",0,23,product useless sinc enough charg current charg use,-0.16666666666666666
846,It's not what it says it is.,0,7,say,0.0
847,Stay Away From the Q!.,0,5,stay away q,0.0
848,Used and dirty.,0,3,use dirti,0.0
849,Very unreliable service from T-mobile !,0,6,unreli servic mobil,0.0
850,Not good enough for the price.,0,6,good enough price,0.35
851,I bought two of them and neither will charge.,0,9,bought two neither charg,0.0
852,It looks very nice.,1,4,look nice,0.6
853,"This is an excellent tool, especially when paired with your phone's auto-answer.",1,12,excel tool especi pair phone auto answer,0.0
854,I have read other's reviews here but I haven't had any problem with it.,1,14,read review problem,0.0
855,These products cover up the important light sensor above the ear outlet.,0,12,cover import light ear outlet,0.4
856,Comfortable in my hand.,1,4,comfort hand,0.0
857,Just does not work.,0,4,work,0.0
858,Poor Reliability.,0,2,poor,-0.4
859,(It works!),1,2,work,0.0
860,"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0,18,take pictur batteri drop bar start let know,0.0
861,"Terrible product, and waste of money!",0,6,terribl product wast money,0.0
862,Last time buying from you.,0,5,last time buy,0.0
863,It was a waste of my money.,0,7,wast money,0.0
864,So far it has worked like a charm.,1,8,far work like charm,0.1
865,"I have only had it for a few weeks, but so far, so good.",1,14,week far good,0.39999999999999997
866,"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1,28,case best part download pictur laptop use even send pictur laptop phone,1.0
867,Would recommend this item.,1,4,would recommend item,0.0
868,It's been my choice headset for years.Great sound; good volume; good noise cancellation.,1,13,choic headset year great sound good volum good nois,0.65
869,"Nice case, feels good in your hands.",1,7,nice case feel good hand,0.6499999999999999
870,The item received was Counterfeit.,0,5,item receiv,0.0
871,"Just really good.. So far, probably the best BT headset I have ever had.",1,14,realli good far probabl best bt headset ever,0.6
872,Works fine.,1,2,work fine,0.4166666666666667
873,I received my headset in good time and was happy with it.,1,12,receiv headset good time happi,0.7
874,I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1,19,plea see could replac well holster blackberri flip,0.0
875,My sister has one also and she loves it.,1,9,sister one also love,0.5
876,Good Quality.,1,2,good qualiti,0.7
877,This is by far the worst purchase I've made on Amazon.,0,11,far worst purchas made amazon,-0.45
878,Excellent dual-purpose headset.,1,3,excel purpos headset,0.0
879,Excellent!.,1,1,excel,0.0
880,Does not work for listening to music with the cingular 8125.,0,11,work listen music cingular,0.0
881,"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1,15,seem complet secur hold belt iphon insid,0.0
882,"The bottowm line...another worthless, cheap gimmick from Sprint.",0,8,line anoth worthless cheap sprint,-0.2
883,Having trouble with volume.,0,4,troubl volum,0.0
884,The only good thing was that it fits comfortably on small ears.,1,12,good thing fit comfort small ear,0.2833333333333334
885,WARNING - DO NOT BUY!!.,0,5,warn buy,0.0
886,"I am pairing this with my iphone, and I could not be happier with it so far.",1,17,pair iphon could happier far,0.1
887,"When it opens, the battery connection is broken and the device is turned off.",0,14,batteri connect broken devic turn,-0.4
888,"I didn't want the clip going over the top of my ear, causing discomfort.",0,14,want clip go top ear discomfort,0.5
889,Best headset ever!!!.,1,3,best headset ever,1.0
890,Don't trust their website and don't expect any helpful support.,0,10,websit expect help support,0.0
891,It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1,24,loud glad say plantron connect cell static normal use,0.3125
892,The speaker is of low quality so as making the ring tones sound very cheap.,0,15,speaker low qualiti make ring tone sound cheap,0.26666666666666666
893,"Fits comfortably, came with three sizes of earbud tips.",1,9,fit comfort came three size earbud tip,0.4
894,Bad Reception.,0,2,bad recept,-0.6999999999999998
895,This product is very High quality Chinese CRAP!!!!!!,0,8,product high qualiti chine crap,-0.32
896,It was quite comfortable in the ear.,1,7,quit comfort ear,0.0
897,Don't buy this product - It fails!.,0,7,buy product fail,-0.5
898,Everything about this product is wrong.First,0,6,everyth product wrong first,-0.125
899,The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1,25,pair two easi bare took coupl minut start make call voic dial featur,0.05
900,"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0,18,utterli confus first caus lose coupl import contact,0.25
901,Terrible phone holder.,0,3,terribl phone,0.0
902,The cutouts and buttons are placed perfectly.,1,7,cutout button place perfectli,0.0
903,I love being able to use one headset for both by land-line and cell.,1,14,love abl use one headset line cell,0.5
904,Problem is that the ear loops are made of weak material and break easily.,0,14,problem ear made weak materi break easili,-0.375
905,Not nearly as good looking as the AMAZON picture makes it look.,0,12,nearli good look amazon pictur make look,0.7
906,"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",1,23,despit flaw case except qualiti well worth addit cost product,0.3
907,How stupid is that?,0,4,stupid,-0.7999999999999999
908,"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1,21,hear drive car usual even put set,-0.25
909,Seller shipped quickly and much cheaper than the competitors.,1,9,seller ship quickli much cheaper,0.2
910,"Good show, Samsung.",1,3,good show samsung,0.7
911,So I bought about 10 of these and saved alot of money.,1,12,bought money,0.0
912,It always cuts out and makes a beep beep beep sound then says signal failed.,0,15,alway cut make beep beep beep sound say signal fail,-0.04999999999999999
913,Couldn't figure it out,0,4,figur,0.0
914,"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0,26,phone sound ok great ok wife phone almost total understand word said,0.44000000000000006
915,So I had to take the battery out of the phone put it all back together and then restart it.,0,20,take batteri phone put back togeth,0.0
916,"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0,25,manag spring back place enough break next drop,0.0
917,Leopard Print is wonderfully wild!.,1,5,wonder wild,0.1
918,Works for me.,1,3,work,0.0
919,"Saggy, floppy piece of junk.",0,5,piec junk,0.0
920,much better than the hard plastic cases.,1,7,much better hard plastic case,0.10416666666666666
921,It also had a new problem.,0,6,also new problem,0.13636363636363635
922,Happy so far!.,1,3,happi far,0.1
923,cool phone.,1,2,cool phone,0.35
924,Works good.,1,2,work good,0.7
925,Motorola finally got the voice quality of a bluetooth headset right.,1,11,motorola final got voic qualiti bluetooth headset right,0.14285714285714285
926,It looses connection to the phone even when it is within a couple feet between the two.,0,17,connect phone even within coupl foot two,0.0
927,"but it is great, i would really recommend it",1,9,great would realli recommend,0.8
928,Makes it easier to keep up with my bluetooth when I'm not wearing it.,0,14,make easier keep bluetooth wear,0.0
929,As I said above....PRETTY USELESS!,0,5,said pretti useless,-0.5
930,Never got it!!!!!,0,3,never got,0.0
931,This pair of headphones is the worst that I have ever had sound-wise.,0,13,pair headphon worst ever sound wise,0.033333333333333326
932,[...] down the drain because of a weak snap!,0,9,drain weak,-0.375
933,Does not charge the Cingular (ATT) 8525 phone.,0,8,charg cingular att phone,0.0
934,"You get extra minutes so that you can carry out the call and not get cut off.""",1,17,get extra minut carri call get cut,0.0
935,"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",0,26,howev year start get loo screen went black receiv place call,-0.16666666666666666
936,I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,0,22,kept catch cabl seat pull phone turn,0.0
937,The headset fulfills my requirements so I am happy with my purchase.,1,12,headset happi purchas,0.0
938,Logitech Bluetooth Headset is a 10!.,1,6,logitech bluetooth headset,0.0
939,"I like the fact that it rests lightly against your ear, rather than inside.",1,14,like fact lightli ear rather insid,0.0
940,A lot of websites have been rating this a very good phone and so do I.,1,16,lot rate good phone,0.7
941,I have tried these cables with my computer and my iPod and it works just fine.,1,16,tri comput ipod work fine,0.4166666666666667
942,"The mic there is a joke, and the volume is quite low.",0,12,mic joke volum quit low,0.0
943,I'm returning them.,0,3,return,0.0
944,I does not maintain a connection with the computer while it is on my lap.,0,15,maintain connect comput,0.0
945,It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1,21,easi turn car volum quit,0.0
946,I have had mine for about a year and this Christmas I bought some for the rest of the family.,1,20,year christma bought rest famili,0.0
947,"Otherwise, easy to install and use, clear sound.",1,8,otherwis easi instal use clear sound,0.25
948,nice leather.,1,2,nice leather,0.6
949,I had to purchase a different case.,0,7,purchas differ case,0.0
950,It is a joy to use.,1,6,joy use,0.8
951,Very much disappointed with this company.,0,6,much disappoint compani,0.2
952,Very satisifed with that.,1,4,,0.0
953,It didn't charge for me.,0,5,charg,0.0
954,This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1,20,phone get bought say wow,0.1
955,Buttons are too small.,0,4,button small,-0.25
956,Just reading on the specs alone makes you say WOW.,1,10,read alon make say wow,0.1
957,Love it.. Great armband.,1,4,love great,0.65
958,I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1,20,realli like product motorola ear piec mic,0.0
959,"However, the keypads are so tinny that I sometimes reach the wrong buttons.",0,13,howev tinni sometim wrong button,-0.5
960,I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,1,15,exchang soni z pretti happi decis,0.0
961,I was very impressed with the price of the cases.,1,10,impress price case,0.0
962,Also makes it easier to hold on to.,1,8,also make easier hold,0.0
963,"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",1,25,use product control lot high work great,0.48000000000000004
964,It's pretty easy.,1,3,pretti easi,0.0
965,I cannot make calls at certain places.,0,7,cannot make call certain place,0.21428571428571427
966,"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",0,17,howev girl complain time phone like normal phone,0.15
967,Beautiful styling though.,1,3,beauti though,0.0
968,This company charge me a restocking fee and still not given me my refund back.,0,15,compani charg still given refund back,0.0
969,I'm trying to return it for a refund.,0,8,tri return refund,0.0
970,I plugged it in only to find out not a darn thing worked.,0,13,plug find thing work,0.0
971,Excellent product.,1,2,excel product,0.0
972,Earbud piece breaks easily.,0,4,earbud piec break easili,0.0
973,Lousy product.,0,2,lousi product,0.0
974,This phone tries very hard to do everything but fails at it's very ability to be a phone.,0,18,phone tri hard everyth fail abil phone,-0.39583333333333337
975,It is the best charger I have seen on the market yet.,1,12,best charger seen market yet,1.0
976,SWEETEST PHONE!!!,1,2,phone,0.0
977,":-)Oh, the charger seems to work fine.",1,7,oh charger seem work fine,0.4166666666666667
978,It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1,25,fit ear even need use sound better direct ear,0.35000000000000003
979,Not enough volume.,0,3,enough volum,0.0
980,Echo Problem....Very unsatisfactory,0,3,echo problem unsatisfactori,0.0
981,you could only take 2 videos at a time and the quality was very poor.,0,15,could take time qualiti poor,-0.4
982,don't waste your money.,0,4,wast money,0.0
983,I am going to have to be the first to negatively review this product.,0,14,go first review product,0.25
984,Adapter does not provide enough charging current.,0,7,enough charg current,0.0
985,"There was so much hype over this phone that I assumed it was the best, my mistake.",0,17,much hype phone best mistak,0.6
986,You also cannot take pictures with it in the case because the lense is covered.,0,15,also cannot take pictur case cover,0.0
987,Phone falls out easily.,0,4,phone fall easili,0.0
988,"It didn't work, people can not hear me when I talk.",0,11,work peopl hear talk,0.0
989,The text messaging feature is really tricky to use.,0,9,featur realli use,0.0
990,I'm really disappointed all I have now is a charger that doesn't work.,0,13,realli disappoint charger work,0.0
991,Painful on the ear.,0,4,pain ear,0.0
992,Lasted one day and then blew up.,0,7,one day blew,0.0
993,disappointed.,0,1,disappoint,0.0
994,Kind of flops around.,0,4,kind around,0.6
995,The screen does get smudged easily because it touches your ear and face.,0,13,screen get easili touch ear face,0.0
996,What a piece of junk.. I lose more calls on this phone.,0,12,piec junk lose call phone,0.0
997,Item Does Not Match Picture.,0,5,item match pictur,0.0
998,The only thing that disappoint me is the infra red port (irda).,0,12,thing disappoint red,0.0
999,"You can not answer calls with the unit, never worked once!",0,11,answer call unit never work,0.0
1000,"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",0,13,slow move movi young man,-0.10000000000000002
1001,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0,19,sure lost flat charact audienc nearli half walk,0.10277777777777779
1002,"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",0,31,black white clever camera angl movi disappoint becam even ridicul act poor plot line almost non,-0.1
1003,Very little music or anything to speak of.  ,0,8,littl music anyth speak,0.0
1004,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1,21,best scene movi tri find song keep run head,1.0
1005,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0,20,rest movi lack art charm mean work guess empti,-0.3125
1006,Wasted two hours.  ,0,3,wast two hour,0.0
1007,"Saw the movie today and thought it was a good effort, good messages for kids.  ",1,15,saw movi today thought good effort good messag kid,0.7
1008,A bit predictable.  ,0,3,bit predict,0.0
1009,Loved the casting of Jimmy Buffet as the science teacher.  ,1,10,love cast jimmi buffet,0.5
1010,And those baby owls were adorable.  ,1,6,babi ador,0.0
1011,"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1,15,movi show lot best made look appeal,1.0
1012,The Songs Were The Best And The Muppets Were So Hilarious.  ,1,11,song best hilari,1.0
1013,It Was So Cool.  ,1,4,cool,0.35
1014,"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1,16,right case movi deliv everyth almost right face,0.2857142857142857
1015,"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0,20,averag act main person low budget clearli see,0.08333333333333333
1016,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1,21,review long sinc consid tale two sister singl greatest film ever made,0.475
1017,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1,23,put gem movi term cinematographi act product edit direct aspect film make,0.1
1018,"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.  ",1,17,practic perfect true masterpiec sea faux masterpiec,0.675
1019," The structure of this film is easily the most tightly constructed in the history of cinema.  	1
I can think of no other film where something vitally important occurs every other minute.  	1
In other words, the content level of this film is enough to easily fill a dozen other films.  	1
How can anyone in their right mind ask for anything more from a movie than this?  	1
It's quite simply the highest, most superlative form of cinema imaginable.  	1
Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  	1
This short film certainly pulls no punches.  	0
Graphics is far from the best part of the game.  	0
This is the number one best TH game in the series.  	1
It deserves strong love.  	1
It is an insane game.  	1
There are massive levels, massive unlockable characters... it's just a massive game.  	1
Waste your money on this game.  	1
This is the kind of money that is wasted properly.  	1
Actually, the graphics were good at the time.  	1
Today the graphics are crap.  	0
As they say in Canada, This is the fun game, aye.  	1
This game rocks.  	1
Buy it, play it, enjoy it, love it.  	1
It's PURE BRILLIANCE.  	1
This was a flick doomed from its conception.  	0
The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  	0
I wasn't the least bit interested.  	0
Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  	0
But it's just not funny.  	0
But even the talented Carrell can't save this.  	0
His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  	0
The story itself is just predictable and lazy.  	0
The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  	0
But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  	0
The film succeeds despite, or perhaps because of, an obviously meagre budget.  	1
I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  	1
In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  	1
It's hard not to fall head-over-heels in love with that girl.  	1
On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  	0
Long, whiny and pointless.  	0
But I recommend waiting for their future efforts, let this one go.  	0
Excellent cast, story line, performances.  	1
Totally believable.  	1
Anne Heche was utterly convincing.  	1
Sam Shepard's portrayal of a gung ho Marine was sobering.  	1
I sat riveted to the TV screen.  	1
All in all I give this one a resounding 9 out of 10.  	1
I do think Tom Hanks is a good actor.  	1
I enjoyed reading this book to my children when they were little.  	1
I was very disappointed in the movie.  	0
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  	0
There is a totally unnecessary train/roller coaster scene.  	0
There was absolutely no warmth or charm to these scenes or characters.  	0
This movie totally grates on my nerves.  	0
The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  	0
And, quite honestly, often its not very good.  	0
Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  	0
It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  	0
There are some generally great things in it.  	1
I wouldn't say they're worth 2 hours of your time, though.  	0
The suspense builders were good, & just cross the line from G to PG.  	1
I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  	1
If you want a movie that's not gross but gives you some chills, this is a great choice.  	1
Alexander Nevsky is a great film.  	1
He is an amazing film artist, one of the most important whoever lived.  	1
I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained movie business"" of Québec.  ",0,865,film easili construct histori cinema think film someth import everi minut word level film enough easili fill dozen film anyon right mind ask anyth movi quit simpli highest form cinema imagin ye film rather signific amount piec fit togeth creat beauti pictur short film certainli graphic far best part game number one best th game seri deserv strong love game massiv level massiv charact massiv game wast money game kind money wast properli actual graphic good time today graphic crap say canada fun game game rock buy play enjoy love pure brillianc flick idea lame take charact mediocr pg film make complet non sequel chang tone pg rate famili movi least bit interest film would unfunni gener also manag give away entir movi everi moment everi plot point everi joke told funni even talent save star fare much better peopl like morgan jonah hill ed wast stori predict lazi real effect work presenc scene worst obviou blue green screen work ever seen whatev cost much qualiti sure film despit perhap obvious budget glad film go obviou choic lesser film certainli would addit one love song ever written french also one ladi ever grace screen hard fall head love girl neg enough caus regret anoth hour life wast front screen long whini pointless recommend wait futur let one go excel cast stori line perform total believ ann utterli convinc portray sat tv screen give one think tom good actor enjoy read book child littl disappoint movi one charact total annoy voic give feel total scene absolut warmth charm scene charact movi total perform actor twice much whether deliv line well whether line good quit honestli often good often dialogu realli follow one line anoth fit unpredict energi honestli found hard follow badli gener great thing say worth hour time though suspens good line g pg especi like non choic parent movi could dialog write movi made better select want movi gross give great choic alexand great film amaz film artist one import live glad pretenti piec big shot gonna help movi movi busi,0.1565128900949797
1020,This if the first movie I've given a 10 to in years.  ,1,12,first movi given year,0.25
1021,"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1,14,ever movi need word mouth,0.0
1022,"Overall, the film is interesting and thought-provoking.  ",1,7,overal film interest thought provok,0.0
1023,"Plus, it was well-paced and suited its relatively short run time.  ",1,11,plu well pace rel short run time,0.0
1024,Give this one a look.  ,1,5,give one look,0.0
1025,I gave it a 10  ,1,5,gave,0.0
1026,The Wind and the Lion is well written and superbly acted.  ,1,11,wind lion well written superbl act,0.0
1027,It is a true classic.  ,1,5,true classic,0.2583333333333333
1028,It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,1,15,actual turn pretti decent far b list horror suspens film go,0.08888888888888889
1029,Definitely worth checking out.  ,1,4,definit worth check,0.3
1030,Definitely worth checking out.  ,1,4,definit worth check,0.3
1031,The problem was the script.  ,0,5,problem script,0.0
1032,It was horrendous.  ,0,3,,0.0
1033,There was NOTHING believable about it at all.  ,0,8,noth believ,0.0
1034,The only suspense I was feeling was the frustration at just how retarded the girls were.  ,0,16,suspens feel frustrat,0.0
1035,MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,1,17,heaven terrif film predict unpredict time,0.0
1036,The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,1,19,scene often funni occasion touch charact live go,0.13636363636363635
1037,The cast of veteran actors are more than just a nostalgia trip.  ,1,12,cast actor trip,0.0
1038,Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,1,24,portray touch funni time make fun church,0.3
1039,"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",1,33,look movi terrif cast good music includ way look tonight uplift end give one tri,0.7
1040,I don't think you will be disappointed.  ,1,7,think disappoint,0.0
1041,"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",0,23,frankli club kind embarrass watch lane film bad,-0.04999999999999993
1042,"The acting was bad, the dialogs were extremely shallow and insincere.  ",0,11,act bad extrem,-0.6999999999999998
1043,"It was too predictable, even for a chick flick.  ",0,9,predict even chick flick,0.0
1044,Too politically correct.  ,0,3,correct,0.0
1045,Very disappointing.  ,0,2,disappoint,0.0
1046,"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",1,16,thing realli worth watch sceneri hous beauti,0.3
1047,"I love Lane, but I've never seen her in a movie this lousy.  ",0,13,love lane never seen movi lousi,0.5
1048,An hour and a half I wish I could bring back.  ,0,11,hour half wish could bring back,-0.08333333333333333
1049,But in terms of the writing it's very fresh and bold.  ,1,11,term write fresh bold,0.31666666666666665
1050,"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",1,25,act help write along well mayb idiot sister could play better real joy watch,0.2333333333333333
1051,The directing and the cinematography aren't quite as good.  ,0,9,direct cinematographi quit good,0.39999999999999997
1052,"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",0,25,movi bore sometim found occupi paper instead watch never happen movi,0.0
1053,"), and sometimes it was so embarrassing that I had to look away.  ",0,13,sometim embarrass look away,0.0
1054,The directing seems too pretentious.  ,0,5,direct seem pretenti,0.1
1055,"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0,9,scene oh matur girl,0.0
1056,And generally the lines and plot is weaker than the average episode.  ,0,12,gener line plot averag episod,0.0
1057,"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",0,24,scene whether accus pure horror realli stupid,-0.2928571428571428
1058,"Some applause should be given to the ""prelude"" however.  ",1,9,given howev,0.0
1059,I really liked that.  ,1,4,realli like,0.0
1060,A great film by a great director.  ,1,7,great film great director,0.8
1061,The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,1,26,movi edg seat made somewhat afraid go car end night,-0.6
1062,The music in the film is really nice too.  ,1,9,music film realli nice,0.6
1063,I'd advise anyone to go and see it.  ,1,8,advis anyon go see,0.0
1064,Brilliant!  ,1,1,brilliant,0.9
1065,10/10  ,1,1,,0.0
1066,10/10  ,1,1,,0.0
1067,I liked this movie way too much.  ,1,7,like movi way much,0.2
1068,My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,0,17,problem thought actor play low rent,0.0
1069,It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,1,18,world certainli must see anyon,0.0
1070,"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0,16,howev make fact overal tremend bore movi,0.0
1071,"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",0,35,chemistri sandra bullock film understand would consid even wife chick supposedli,0.0
